"Time","recv br-12d023f77e6a","recv bri0","recv docker0","recv enp4s0","recv macvlan1","recv tailscale0","recv veth0d5c3b2","recv veth77ec78e","recv virbr0","trans br-12d023f77e6a ","trans bri0 ","trans docker0 ","trans enp4s0 ","trans macvlan1 ","trans tailscale0 ","trans veth0d5c3b2 ","trans veth77ec78e ","trans virbr0 "
1725564420000,0,2904,0,3531.2,undefined,0,undefined,0,0,0,37883.2,0,38075.2,undefined,0,undefined,0,0
1725564450000,0,2292.8,0,2740.8,undefined,0,undefined,0,0,0,37848,0,38040,undefined,0,undefined,0,0
1725564480000,0,4115.2,0,4787.2,undefined,0,undefined,0,0,0,37816,0,38008,undefined,0,undefined,0,0
1725564510000,0,2561.6,0,3076.8,undefined,0,undefined,0,0,0,37811.2,0,38003.2,undefined,0,undefined,0,0
1725564540000,0,5536,0,6454.4,undefined,0,undefined,0,0,0,37822.4,0,38043.2,undefined,0,undefined,0,0
1725564570000,0,3214.4,0,3707.2,undefined,0,undefined,0,0,0,37875.2,0,38067.2,undefined,0,undefined,0,0
1725564600000,0,5286.4,0,5980.8,undefined,0,undefined,0,0,0,37982.4,0,38174.4,undefined,0,undefined,0,0
1725564630000,0,2809.6,0,3865.6,undefined,0,undefined,0,0,0,37948.8,0,38140.8,undefined,0,undefined,0,0
1725564660000,0,7521.6,0,8596.8,undefined,0,undefined,0,0,0,38028.8,0,38220.8,undefined,0,undefined,0,0
1725564690000,0,8492.8,0,9612.8,undefined,0,undefined,0,0,0,37913.6,0,38664,undefined,0,undefined,0,0
1725564720000,0,8569.6,0,9712,undefined,0,undefined,0,0,0,38156.8,0,38371.2,undefined,0,undefined,171.2,0
1725564750000,0,9668.8,0,10945.6,undefined,0,undefined,0,0,0,38033.6,0,38225.6,undefined,0,undefined,0,0
1725564780000,0,6939.2,0,7992,undefined,0,undefined,0,0,0,37912,0,38104,undefined,0,undefined,0,0
